,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
216,294.csv : ,1,-10.00,-9.34,5,21
153,237.csv : ,1,-10.00,-9.15,11,31
232,308.csv : ,1,-10.01,-9.39,11,13
171,253.csv : ,1,-10.01,-8.92,21,45
102,191.csv : ,1,-10.01,-9.18,19,2
428,66.csv : ,1,-10.01,-10.01,1,33
305,374.csv : ,1,-10.03,-9.20,35,27
241,316.csv : ,1,-10.04,-9.18,11,40
427,65.csv : ,1,-10.04,-10.04,1,50
173,255.csv : ,1,-10.05,-8.93,26,5
289,36.csv : ,1,-10.06,-9.03,4,33
306,375.csv : ,1,-10.06,-9.44,32,10
53,147.csv : ,1,-10.06,-9.45,14,8
24,120.csv : ,1,-10.07,-9.39,17,27
134,22.csv : ,1,-10.09,-9.17,39,6
436,73.csv : ,1,-10.09,-8.83,7,6
351,415.csv : ,1,-10.10,-10.01,10,48
459,94.csv : ,1,-10.12,-9.59,21,13
362,425.csv : ,1,-10.14,-9.87,7,41
149,233.csv : ,1,-10.17,-10.08,4,6
267,34.csv : ,1,-10.17,-9.00,8,43
179,260.csv : ,1,-10.18,-9.59,5,11
167,25.csv : ,1,-10.18,-9.52,22,35
361,424.csv : ,1,-10.18,-9.73,24,45
415,54.csv : ,1,-10.18,-8.99,17,33
350,414.csv : ,1,-10.19,-9.33,14,50
258,331.csv : ,1,-10.21,-10.05,46,31
303,372.csv : ,1,-10.25,-8.96,5,4
160,243.csv : ,1,-10.26,-9.66,22,40
349,413.csv : ,1,-10.27,-9.62,30,32
438,75.csv : ,1,-10.27,-9.07,11,24
311,38.csv : ,1,-10.28,-9.59,4,2
406,465.csv : ,1,-10.28,-9.97,38,49
145,23.csv : ,1,-10.28,-9.37,39,27
334,40.csv : ,1,-10.31,-10.31,1,5
57,150.csv : ,1,-10.33,-9.18,10,9
161,244.csv : ,1,-10.33,-10.01,9,22
248,322.csv : ,1,-10.33,-9.45,13,39
328,395.csv : ,1,-10.36,-9.31,6,5
33,129.csv : ,1,-10.36,-9.99,12,46
119,206.csv : ,1,-10.37,-9.66,32,36
54,148.csv : ,1,-10.39,-9.21,25,19
329,396.csv : ,1,-10.40,-9.75,23,13
92,182.csv : ,1,-10.40,-9.70,32,48
416,55.csv : ,1,-10.41,-9.68,29,13
42,137.csv : ,1,-10.41,-9.83,40,39
5,103.csv : ,1,-10.41,-9.31,19,17
417,56.csv : ,1,-10.41,-9.21,13,8
137,222.csv : ,1,-10.43,-9.57,24,20
230,306.csv : ,1,-10.44,-9.69,21,27
135,220.csv : ,1,-10.46,-9.77,15,10
147,231.csv : ,1,-10.46,-9.67,13,24
55,149.csv : ,1,-10.48,-9.45,4,47
136,221.csv : ,1,-10.49,-9.45,19,2
277,349.csv : ,1,-10.49,-9.65,10,24
327,394.csv : ,1,-10.51,-9.73,21,26
3,101.csv : ,1,-10.51,-9.66,33,41
293,363.csv : ,1,-10.52,-10.52,2,8
162,245.csv : ,1,-10.53,-10.28,14,38
159,242.csv : ,1,-10.54,-10.13,9,46
39,134.csv : ,1,-10.55,-9.74,26,48
148,232.csv : ,1,-10.55,-9.53,23,11
426,64.csv : ,1,-10.57,-9.29,6,30
243,318.csv : ,1,-10.59,-10.30,6,8
41,136.csv : ,1,-10.59,-9.99,46,48
233,309.csv : ,1,-10.59,-9.98,30,26
320,388.csv : ,1,-10.60,-10.06,18,24
154,238.csv : ,1,-10.61,-10.18,2,40
249,323.csv : ,1,-10.61,-10.30,7,7
43,138.csv : ,1,-10.61,-9.72,43,34
231,307.csv : ,1,-10.62,-10.01,31,30
465,output.csv : 100.csv : ,1,-10.62,-9.92,44,22
4,102.csv : ,1,-10.62,-9.96,31,5
2,100.csv : ,1,-10.62,-9.92,44,22
122,209.csv : ,1,-10.63,-9.29,30,38
239,314.csv : ,1,-10.64,-9.65,13,28
357,420.csv : ,1,-10.64,-10.51,33,6
156,24.csv : ,1,-10.65,-9.41,34,13
124,210.csv : ,1,-10.66,-9.24,18,42
348,412.csv : ,1,-10.66,-10.00,35,9
6,104.csv : ,1,-10.68,-9.65,38,31
238,313.csv : ,1,-10.69,-9.61,10,25
38,133.csv : ,1,-10.70,-9.85,48,28
158,241.csv : ,1,-10.70,-10.34,4,21
342,407.csv : ,1,-10.70,-10.61,48,49
178,26.csv : ,1,-10.77,-9.87,21,20
302,371.csv : ,1,-10.79,-9.74,17,34
297,367.csv : ,1,-10.79,-9.64,4,42
144,229.csv : ,1,-10.80,-10.15,23,3
164,247.csv : ,1,-10.80,-9.72,31,16
240,315.csv : ,1,-10.82,-10.29,9,33
323,390.csv : ,1,-10.82,-9.73,10,17
352,416.csv : ,1,-10.84,-10.75,13,37
354,418.csv : ,1,-10.84,-10.62,23,14
139,224.csv : ,1,-10.85,-10.15,25,23
353,417.csv : ,1,-10.86,-10.15,20,26
140,225.csv : ,1,-10.86,-9.94,6,11
290,360.csv : ,1,-10.87,-9.46,16,7
165,248.csv : ,1,-10.89,-9.94,28,24
321,389.csv : ,1,-10.90,-10.15,19,25
355,419.csv : ,1,-10.92,-10.89,18,3
299,369.csv : ,1,-10.92,-9.92,2,7
437,74.csv : ,1,-10.94,-10.32,10,10
89,18.csv : ,1,-10.95,-10.14,21,17
250,324.csv : ,1,-10.96,-10.39,3,36
132,218.csv : ,1,-10.96,-9.53,12,28
298,368.csv : ,1,-10.97,-10.20,6,11
125,211.csv : ,1,-11.02,-9.95,34,5
235,310.csv : ,1,-11.04,-9.79,7,14
63,156.csv : ,1,-11.04,-10.54,14,17
166,249.csv : ,1,-11.05,-10.00,7,7
163,246.csv : ,1,-11.08,-10.67,24,21
322,39.csv : ,1,-11.11,-11.11,1,50
138,223.csv : ,1,-11.11,-9.90,18,39
287,358.csv : ,1,-11.14,-9.55,25,28
131,217.csv : ,1,-11.17,-9.38,9,11
146,230.csv : ,1,-11.18,-9.90,20,2
61,154.csv : ,1,-11.20,-10.59,10,30
157,240.csv : ,1,-11.23,-10.76,6,10
236,311.csv : ,1,-11.24,-10.52,11,12
356,42.csv : ,1,-11.26,-10.35,5,41
345,41.csv : ,1,-11.28,-10.91,2,4
67,16.csv : ,1,-11.30,-11.15,4,44
62,155.csv : ,1,-11.35,-10.98,12,22
78,17.csv : ,1,-11.54,-10.92,13,12
155,239.csv : ,1,-11.55,-10.59,13,3
288,359.csv : ,1,-11.57,-10.26,19,29
432,7.csv : ,1,-11.62,-11.19,20,27
443,8.csv : ,1,-11.64,-10.92,13,37
454,9.csv : ,1,-11.76,-10.51,3,44
209,288.csv : ,1,-6.49,-6.09,2,25
88,179.csv : ,1,-6.70,-6.39,27,3
422,60.csv : ,1,-7.13,-6.60,8,29
46,140.csv : ,1,-7.15,-6.88,19,22
199,279.csv : ,1,-7.22,-6.88,48,24
73,165.csv : ,1,-7.26,-6.72,35,50
44,139.csv : ,1,-7.30,-7.21,50,2
106,195.csv : ,1,-7.32,-7.04,43,36
47,141.csv : ,1,-7.39,-7.04,28,7
90,180.csv : ,1,-7.41,-6.85,18,20
271,343.csv : ,1,-7.42,-7.28,23,21
109,198.csv : ,1,-7.53,-6.84,25,21
29,125.csv : ,1,-7.57,-6.97,7,42
28,124.csv : ,1,-7.59,-7.54,29,33
358,421.csv : ,1,-7.62,-7.53,47,36
14,111.csv : ,1,-7.67,-7.19,39,16
197,277.csv : ,1,-7.71,-7.53,21,22
192,272.csv : ,1,-7.72,-7.60,50,29
72,164.csv : ,1,-7.72,-7.62,49,10
191,271.csv : ,1,-7.73,-7.67,49,20
71,163.csv : ,1,-7.75,-7.69,50,48
11,109.csv : ,1,-7.75,-7.60,40,10
184,265.csv : ,1,-7.78,-7.68,45,38
310,379.csv : ,1,-7.80,-7.71,47,43
112,20.csv : ,1,-7.85,-7.55,24,11
182,263.csv : ,1,-7.86,-7.19,28,33
123,21.csv : ,1,-7.86,-7.29,32,49
70,162.csv : ,1,-7.87,-7.37,30,15
100,19.csv : ,1,-7.87,-7.14,23,19
198,278.csv : ,1,-7.88,-7.46,50,31
185,266.csv : ,1,-7.89,-7.70,37,35
256,33.csv : ,1,-7.93,-7.63,5,47
370,432.csv : ,1,-7.94,699043.10,24,7
13,110.csv : ,1,-7.96,-7.83,20,13
186,267.csv : ,1,-7.96,-7.70,22,29
193,273.csv : ,1,-7.97,-7.31,49,3
20,117.csv : ,1,-7.99,-7.70,31,11
86,177.csv : ,1,-7.99,-7.69,50,5
206,285.csv : ,1,-7.99,-7.26,31,5
272,344.csv : ,1,-8.01,-7.81,43,22
444,80.csv : ,1,-8.03,-7.78,24,17
76,168.csv : ,1,-8.04,-7.60,20,33
412,51.csv : ,1,-8.05,-7.48,18,43
359,422.csv : ,1,-8.07,-7.69,31,31
204,283.csv : ,1,-8.08,-7.54,25,17
174,256.csv : ,1,-8.08,-7.71,46,9
110,199.csv : ,1,-8.10,-7.79,37,3
175,257.csv : ,1,-8.11,-7.74,21,32
87,178.csv : ,1,-8.12,-7.87,28,49
330,397.csv : ,1,-8.14,-8.10,14,20
84,175.csv : ,1,-8.15,-7.94,44,40
431,69.csv : ,1,-8.15,-7.70,29,20
85,176.csv : ,1,-8.15,-7.82,26,33
113,200.csv : ,1,-8.16,-8.05,46,11
207,286.csv : ,1,-8.16,-8.05,28,14
372,434.csv : ,1,-8.17,-8.08,48,5
429,67.csv : ,1,-8.18,-8.06,46,6
176,258.csv : ,1,-8.19,-7.55,9,18
273,345.csv : ,1,-8.19,-7.99,22,14
114,201.csv : ,1,-8.20,-7.63,39,38
208,287.csv : ,1,-8.21,-8.08,48,43
386,447.csv : ,1,-8.21,-7.52,35,12
336,401.csv : ,1,-8.21,-7.98,16,39
332,399.csv : ,1,-8.22,-8.13,42,23
16,113.csv : ,1,-8.23,-7.68,23,14
369,431.csv : ,1,-8.23,-7.70,6,47
419,58.csv : ,1,-8.25,-7.90,42,23
75,167.csv : ,1,-8.26,-7.77,12,40
337,402.csv : ,1,-8.27,-7.99,36,28
19,116.csv : ,1,-8.28,-8.12,13,33
360,423.csv : ,1,-8.29,-7.75,49,45
143,228.csv : ,1,-8.30,-8.01,22,41
378,44.csv : ,1,-8.30,-7.98,7,11
170,252.csv : ,1,-8.31,-7.66,46,23
17,114.csv : ,1,-8.32,-7.96,18,47
96,186.csv : ,1,-8.32,-7.93,37,30
104,193.csv : ,1,-8.34,-8.19,50,30
142,227.csv : ,1,-8.34,-8.02,27,40
373,435.csv : ,1,-8.34,-8.09,23,33
371,433.csv : ,1,-8.35,-7.59,14,1
331,398.csv : ,1,-8.35,-8.15,8,13
409,49.csv : ,1,-8.35,-7.47,30,36
52,146.csv : ,1,-8.36,-8.01,21,14
205,284.csv : ,1,-8.37,-7.72,30,43
65,158.csv : ,1,-8.40,-7.54,8,5
442,79.csv : ,1,-8.41,-7.91,4,27
339,404.csv : ,1,-8.42,-7.67,22,23
401,460.csv : ,1,-8.43,-8.16,3,16
411,50.csv : ,1,-8.45,-7.80,40,3
56,15.csv : ,1,-8.46,-7.58,7,17
313,381.csv : ,1,-8.46,-7.85,49,42
312,380.csv : ,1,-8.46,-7.71,47,39
430,68.csv : ,1,-8.47,-8.05,30,10
116,203.csv : ,1,-8.50,-8.05,16,47
130,216.csv : ,1,-8.50,-8.11,22,24
111,2.csv : ,1,-8.51,-8.31,5,23
30,126.csv : ,1,-8.51,-8.12,27,34
120,207.csv : ,1,-8.52,-8.20,39,24
266,339.csv : ,1,-8.54,-8.02,31,26
222,3.csv : ,1,-8.54,-7.81,17,4
94,184.csv : ,1,-8.56,-8.10,34,37
263,336.csv : ,1,-8.56,-7.99,35,33
420,59.csv : ,1,-8.56,-8.35,42,32
95,185.csv : ,1,-8.58,-8.20,24,28
445,81.csv : ,1,-8.59,-8.42,37,23
80,171.csv : ,1,-8.59,-7.91,21,12
107,196.csv : ,1,-8.59,-8.05,31,18
181,262.csv : ,1,-8.60,-8.40,44,30
105,194.csv : ,1,-8.60,-8.28,49,47
74,166.csv : ,1,-8.60,-8.19,27,27
264,337.csv : ,1,-8.60,-8.41,20,12
275,347.csv : ,1,-8.61,-8.29,27,14
169,251.csv : ,1,-8.61,-8.33,10,35
203,282.csv : ,1,-8.61,-8.53,5,8
15,112.csv : ,1,-8.62,-8.07,33,42
365,428.csv : ,1,-8.62,-8.38,33,48
183,264.csv : ,1,-8.63,-8.37,31,31
115,202.csv : ,1,-8.65,-8.08,27,30
0,1.csv : ,1,-8.66,-8.06,25,5
196,276.csv : ,1,-8.66,-8.07,20,38
129,215.csv : ,1,-8.69,-8.06,19,22
168,250.csv : ,1,-8.70,-8.22,19,10
335,400.csv : ,1,-8.70,-8.33,24,4
18,115.csv : ,1,-8.70,-7.99,26,1
441,78.csv : ,1,-8.70,-8.70,1,18
388,449.csv : ,1,-8.72,-8.53,20,39
257,330.csv : ,1,-8.72,-8.51,19,24
108,197.csv : ,1,-8.73,-7.96,36,23
433,70.csv : ,1,-8.73,-8.34,27,8
387,448.csv : ,1,-8.73,-8.09,20,22
364,427.csv : ,1,-8.73,-8.38,42,39
190,270.csv : ,1,-8.74,-8.25,25,40
333,4.csv : ,1,-8.74,-8.02,17,48
446,82.csv : ,1,-8.75,-8.18,13,31
391,451.csv : ,1,-8.75,-8.13,12,39
194,274.csv : ,1,-8.76,-8.31,14,20
117,204.csv : ,1,-8.76,-8.33,13,22
384,445.csv : ,1,-8.77,-8.61,9,43
195,275.csv : ,1,-8.77,-8.42,20,19
31,127.csv : ,1,-8.78,-8.02,25,30
385,446.csv : ,1,-8.78,-8.77,4,12
434,71.csv : ,1,-8.79,-8.27,33,7
381,442.csv : ,1,-8.81,-8.13,12,9
366,429.csv : ,1,-8.81,-8.62,46,47
396,456.csv : ,1,-8.81,-7.89,17,17
398,458.csv : ,1,-8.81,-8.03,18,21
286,357.csv : ,1,-8.84,-8.49,12,11
69,161.csv : ,1,-8.86,-8.49,31,36
79,170.csv : ,1,-8.86,-8.36,15,38
340,405.csv : ,1,-8.88,-7.56,7,13
285,356.csv : ,1,-8.88,-8.15,35,4
379,440.csv : ,1,-8.89,-8.03,18,6
133,219.csv : ,1,-8.89,-8.12,2,47
368,430.csv : ,1,-8.89,-8.55,42,17
460,95.csv : ,1,-8.90,-8.60,21,8
83,174.csv : ,1,-8.90,-8.60,2,5
51,145.csv : ,1,-8.90,-8.47,11,7
77,169.csv : ,1,-8.90,-8.39,28,35
103,192.csv : ,1,-8.92,-8.15,2,45
316,384.csv : ,1,-8.92,-8.42,19,27
246,320.csv : ,1,-8.93,-8.61,21,45
421,6.csv : ,1,-8.93,-8.02,9,1
410,5.csv : ,1,-8.95,-7.96,7,27
64,157.csv : ,1,-8.96,-8.56,40,5
49,143.csv : ,1,-8.96,-8.70,16,23
296,366.csv : ,1,-8.98,-7.99,19,19
141,226.csv : ,1,-8.98,-8.46,30,43
377,439.csv : ,1,-8.99,-8.59,21,41
237,312.csv : ,1,-8.99,-8.48,6,12
295,365.csv : ,1,-9.00,-8.27,21,1
247,321.csv : ,1,-9.00,-8.29,21,45
395,455.csv : ,1,-9.00,-8.27,15,9
399,459.csv : ,1,-9.01,-8.19,16,10
93,183.csv : ,1,-9.01,-7.91,16,49
447,83.csv : ,1,-9.02,-8.29,6,37
261,334.csv : ,1,-9.06,-8.45,20,20
265,338.csv : ,1,-9.07,-8.80,31,37
118,205.csv : ,1,-9.08,-8.17,23,30
413,52.csv : ,1,-9.09,-8.41,19,8
252,326.csv : ,1,-9.09,-8.71,18,32
217,295.csv : ,1,-9.09,-8.98,21,41
274,346.csv : ,1,-9.10,-8.97,49,13
276,348.csv : ,1,-9.10,-9.04,49,24
262,335.csv : ,1,-9.10,-8.49,24,11
451,87.csv : ,1,-9.11,-7.91,9,37
9,107.csv : ,1,-9.12,-8.03,8,33
448,84.csv : ,1,-9.13,-8.40,6,5
26,122.csv : ,1,-9.13,-8.13,4,38
435,72.csv : ,1,-9.13,-8.70,31,23
394,454.csv : ,1,-9.13,-8.81,12,37
253,327.csv : ,1,-9.14,-8.06,7,9
402,461.csv : ,1,-9.14,-8.89,15,22
407,47.csv : ,1,-9.14,-8.60,4,5
242,317.csv : ,1,-9.15,-8.71,12,39
48,142.csv : ,1,-9.15,-8.37,11,31
23,12.csv : ,1,-9.15,-8.66,21,31
439,76.csv : ,1,-9.16,-8.55,8,37
128,214.csv : ,1,-9.16,-8.74,18,22
68,160.csv : ,1,-9.17,-8.70,30,35
346,410.csv : ,1,-9.17,-9.17,1,11
423,61.csv : ,1,-9.18,-8.79,15,31
201,280.csv : ,1,-9.19,-8.61,25,34
389,45.csv : ,1,-9.20,-8.53,27,49
458,93.csv : ,1,-9.21,-8.65,32,21
403,462.csv : ,1,-9.22,-9.19,3,44
392,452.csv : ,1,-9.22,-8.59,23,3
367,43.csv : ,1,-9.24,-8.43,26,46
37,132.csv : ,1,-9.24,-8.35,3,24
187,268.csv : ,1,-9.26,-8.81,2,18
462,97.csv : ,1,-9.27,-8.55,31,29
99,189.csv : ,1,-9.27,-9.27,1,50
390,450.csv : ,1,-9.28,-8.87,43,6
12,11.csv : ,1,-9.30,-8.29,8,20
226,302.csv : ,1,-9.30,-9.22,7,31
36,131.csv : ,1,-9.31,-8.87,6,17
202,281.csv : ,1,-9.31,-8.71,21,42
382,443.csv : ,1,-9.31,-8.19,9,8
291,361.csv : ,1,-9.32,-8.85,12,31
8,106.csv : ,1,-9.32,-9.32,1,44
397,457.csv : ,1,-9.33,-8.69,29,29
35,130.csv : ,1,-9.34,-9.12,12,4
292,362.csv : ,1,-9.34,-8.88,15,44
45,14.csv : ,1,-9.34,-8.68,16,21
408,48.csv : ,1,-9.34,-9.13,2,19
224,300.csv : ,1,-9.34,-8.82,23,27
225,301.csv : ,1,-9.35,-8.68,37,34
425,63.csv : ,1,-9.36,-8.90,29,32
404,463.csv : ,1,-9.36,-9.05,9,37
450,86.csv : ,1,-9.36,-8.91,20,16
376,438.csv : ,1,-9.37,-9.24,43,19
283,354.csv : ,1,-9.37,-9.37,1,12
127,213.csv : ,1,-9.41,-7.92,13,31
25,121.csv : ,1,-9.41,-8.82,24,36
393,453.csv : ,1,-9.41,-8.93,33,37
221,299.csv : ,1,-9.41,-9.14,33,40
66,159.csv : ,1,-9.43,-9.10,34,33
338,403.csv : ,1,-9.45,-8.23,15,38
317,385.csv : ,1,-9.46,-8.98,21,36
449,85.csv : ,1,-9.47,-9.15,17,7
188,269.csv : ,1,-9.47,-9.11,36,28
180,261.csv : ,1,-9.47,-9.40,3,44
172,254.csv : ,1,-9.48,-8.48,29,25
380,441.csv : ,1,-9.50,-8.97,39,1
374,436.csv : ,1,-9.50,-9.37,47,5
60,153.csv : ,1,-9.50,-8.83,5,37
400,46.csv : ,1,-9.51,-8.53,9,23
82,173.csv : ,1,-9.52,-8.49,14,22
284,355.csv : ,1,-9.52,-9.52,1,44
279,350.csv : ,1,-9.53,-8.67,10,1
309,378.csv : ,1,-9.53,-8.92,15,30
97,187.csv : ,1,-9.53,-9.00,14,1
10,108.csv : ,1,-9.53,-8.98,8,49
301,370.csv : ,1,-9.56,-8.42,13,15
461,96.csv : ,1,-9.57,-8.93,6,29
304,373.csv : ,1,-9.57,-9.06,35,12
318,386.csv : ,1,-9.57,-9.06,20,11
457,92.csv : ,1,-9.57,-9.25,4,30
440,77.csv : ,1,-9.59,-9.59,1,41
212,290.csv : ,1,-9.59,-9.02,19,33
244,319.csv : ,1,-9.60,-9.31,18,19
326,393.csv : ,1,-9.60,-9.19,12,34
282,353.csv : ,1,-9.62,-9.04,5,32
260,333.csv : ,1,-9.63,-9.32,42,37
200,28.csv : ,1,-9.63,-8.73,5,17
344,409.csv : ,1,-9.63,-9.46,38,33
255,329.csv : ,1,-9.64,-9.51,49,35
213,291.csv : ,1,-9.65,-9.14,31,17
294,364.csv : ,1,-9.66,-9.12,46,6
101,190.csv : ,1,-9.66,-9.06,21,33
452,88.csv : ,1,-9.67,-9.38,41,19
414,53.csv : ,1,-9.67,-8.88,8,11
254,328.csv : ,1,-9.68,-9.63,46,50
21,118.csv : ,1,-9.68,479340.31,35,38
270,342.csv : ,1,-9.69,-9.27,19,39
58,151.csv : ,1,-9.69,-9.37,7,7
189,27.csv : ,1,-9.69,-8.40,10,28
453,89.csv : ,1,-9.70,-9.12,39,48
34,13.csv : ,1,-9.70,-9.10,20,20
218,296.csv : ,1,-9.70,-9.55,40,40
59,152.csv : ,1,-9.70,-9.07,12,43
210,289.csv : ,1,-9.70,-9.11,20,36
219,297.csv : ,1,-9.71,-9.53,31,41
455,90.csv : ,1,-9.72,-9.20,39,31
81,172.csv : ,1,-9.72,-8.66,7,37
151,235.csv : ,1,-9.72,-8.78,7,27
22,119.csv : ,1,-9.72,-8.96,25,48
234,31.csv : ,1,-9.73,-9.04,8,4
280,351.csv : ,1,-9.73,-8.62,14,4
341,406.csv : ,1,-9.73,-9.59,25,21
268,340.csv : ,1,-9.73,-9.41,20,24
383,444.csv : ,1,-9.74,-8.60,8,21
251,325.csv : ,1,-9.74,-9.23,14,5
259,332.csv : ,1,-9.74,-9.51,47,7
27,123.csv : ,1,-9.75,-8.97,20,16
325,392.csv : ,1,-9.76,-9.21,31,2
7,105.csv : ,1,-9.76,-8.93,12,9
324,391.csv : ,1,-9.76,-8.67,4,10
214,292.csv : ,1,-9.76,-9.46,10,31
126,212.csv : ,1,-9.78,-9.38,3,22
223,30.csv : ,1,-9.79,-9.55,9,17
347,411.csv : ,1,-9.79,-9.53,18,29
424,62.csv : ,1,-9.79,-9.12,34,40
220,298.csv : ,1,-9.80,-9.53,44,48
418,57.csv : ,1,-9.80,-8.97,15,29
227,303.csv : ,1,-9.80,-9.70,46,12
308,377.csv : ,1,-9.80,-9.35,27,50
40,135.csv : ,1,-9.81,-8.74,13,5
228,304.csv : ,1,-9.81,-8.91,13,41
463,98.csv : ,1,-9.82,-9.26,37,31
32,128.csv : ,1,-9.82,-9.62,32,38
269,341.csv : ,1,-9.82,-9.61,44,16
464,99.csv : ,1,-9.82,-9.07,32,16
150,234.csv : ,1,-9.86,-8.82,28,23
91,181.csv : ,1,-9.86,-9.01,31,28
300,37.csv : ,1,-9.87,-8.53,6,48
121,208.csv : ,1,-9.87,-8.64,16,25
456,91.csv : ,1,-9.89,-9.47,8,42
315,383.csv : ,1,-9.89,-9.39,22,38
211,29.csv : ,1,-9.89,-9.11,21,44
50,144.csv : ,1,-9.89,-9.25,13,24
278,35.csv : ,1,-9.90,-9.90,1,5
229,305.csv : ,1,-9.90,-9.01,12,38
314,382.csv : ,1,-9.90,-8.95,17,46
215,293.csv : ,1,-9.91,-9.41,7,15
307,376.csv : ,1,-9.91,-9.29,36,30
98,188.csv : ,1,-9.91,-9.41,6,36
363,426.csv : ,1,-9.92,-9.67,9,44
281,352.csv : ,1,-9.92,-9.38,10,50
319,387.csv : ,1,-9.94,-8.72,3,20
245,32.csv : ,1,-9.95,-9.48,4,10
343,408.csv : ,1,-9.95,-9.53,12,17
152,236.csv : ,1,-9.95,-9.18,9,33
177,259.csv : ,1,-9.96,-9.53,7,42
1,10.csv : ,1,-9.97,-9.67,13,12
375,437.csv : ,1,-9.98,-9.85,47,50
405,464.csv : ,1,-9.99,-9.86,47,20
