,q_2n,d_2n,f_2n,ECR,Molecule
2,0.0475614712250357,0.04303539882125289,0.03894003915357024,0.12953690919985883,3
5,0.04524187090179797,0.0370409110340859,0.0370409110340859,0.11932369296996977,6
138,0.03894003915357024,0.022466448205861078,0.026102288838050804,0.08750877619748212,139
79,0.0005283602191926328,0.03894003915357024,0.04303539882125289,0.08250379819401576,80
51,0.0012995564389377673,0.031881407581088664,0.04524187090179797,0.0784228349218244,52
13,0.002142606343352009,0.0475614712250357,0.023618327637050733,0.07332240520543845,14
12,0.0019387103915861005,0.03523440448593567,0.024829265189570477,0.062002380067092244,13
10,0.04303539882125289,0.0031963930603353787,0.0074784309611317535,0.05371022284272002,11
35,0.03523440448593567,0.01664355418490398,0.0012995564389377673,0.05317751510977742,36
113,0.00017587583874560642,0.004535897664470626,0.0475614712250357,0.052273244728251934,114
40,0.023618327637050733,0.027440581804701318,0.0003204666723128192,0.05137937611406487,41
122,0.017496887455557768,0.033516002301781964,0.00019437286217380653,0.05120726261951354,123
20,0.020328482987029956,0.028847490519024334,0.00039141887746128867,0.04956739238351558,21
47,0.031881407581088664,0.012962013032294575,0.0037136789107166937,0.048557099524099936,48
136,0.006122821412649095,0.0004780800965271752,0.04093653765389909,0.04753743916307536,137
11,0.0020381101989183107,0.04524187090179797,3.0562638056478614e-05,0.04731054373877276,12
24,0.007113703579325679,0.012329848197080325,0.027440581804701318,0.04688413358110732,25
63,0.028847490519024334,0.017496887455557768,0.00041148735245100153,0.0467558653270331,64
62,0.0370409110340859,0.0014362319827119717,0.00786185831568138,0.04633900133247924,63
89,0.00024957969534551087,0.04093653765389909,0.003040503131260899,0.0442266204805055,90
14,0.021370746597436336,0.005824207888674849,0.015831838468952662,0.04302679295506385,15
42,0.022466448205861078,0.006436745179390212,0.013626589651700629,0.042529783036951915,43
115,0.001509869171115925,0.009134176202636733,0.031881407581088664,0.04252545295484132,116
23,0.00041148735245100153,0.020328482987029956,0.021370746597436336,0.04211071693691729,24
87,3.377693875969222e-05,0.03032653298563167,0.011156508007421491,0.041516817931812854,88
3,0.04093653765389909,0.00015137773726879076,0.00017587583874560642,0.041263791229913485,4
1,0.0074784309611317535,0.021370746597436336,0.012329848197080325,0.04117902575564841,2
22,0.012329848197080325,0.015831838468952662,0.012962013032294575,0.04112369969832756,23
0,0.033516002301781964,0.005540157918116693,0.0011758872928004553,0.04023204751269911,1
109,0.010612398691337153,0.00023740754997057388,0.028847490519024334,0.03969729676033206,110
135,0.0011758872928004553,0.0012361763235169694,0.03523440448593567,0.0376464681022531,136
139,0.03032653298563167,0.007113703579325679,0.00011214338597429017,0.037552379950931636,140
80,0.013626589651700629,0.01933705117272506,0.004314679324968524,0.037278320149394216,81
28,0.0004325847601560317,0.026102288838050804,0.008264944411079327,0.034799818009286165,29
145,0.0006453406290239936,0.0003541704464526059,0.033516002301781964,0.03451551337725856,146
27,0.026102288838050804,0.0018441583700620008,0.005824207888674849,0.03377065509678765,28
78,0.0008711187319746757,0.0011758872928004553,0.03032653298563167,0.0323735390104068,79
107,0.01933705117272506,0.006122821412649095,0.005269961228093216,0.030729833813467375,108
17,0.027440581804701318,0.00026237591995906923,0.002142606343352009,0.029845564068012396,18
57,0.024829265189570477,0.00111853859280828,0.0033602756369874877,0.029308079419366244,58
119,0.0004780800965271752,0.024829265189570477,2.3802206451113468e-05,0.025331147492548764,120
118,0.0010120955722902195,0.023618327637050733,0.00012393760883331792,0.02475436081817427,119
90,0.0037136789107166937,0.00012393760883331792,0.01933705117272506,0.023174667692275074,91
94,3.5508719442127454e-05,8.30778636586967e-05,0.022466448205861078,0.022585034788961903,95
36,0.00023740754997057388,0.0005025917872316793,0.020328482987029956,0.02106848232423221,37
8,0.018393972058572117,0.0023679462195570463,0.00021481523453761698,0.02097673351266678,9
58,6.80184018773947e-05,0.011728514404689883,0.009134176202636733,0.02093070900920401,59
16,0.005269961228093216,0.0039040833000576584,0.011728514404689883,0.020902558932840758,17
65,5.5688757392240165e-05,0.0019387103915861005,0.018393972058572117,0.02038837120755046,66
9,0.0027511610028203614,5.8543981039558724e-05,0.017496887455557768,0.020306592439417688,10
15,0.0033602756369874877,0.0001066740885018854,0.01664355418490398,0.020110503910393353,16
137,0.01664355418490398,0.0006784279506100467,0.002616985297421619,0.019938967432935648,138
95,0.012962013032294575,7.517195964887862e-05,0.0067667641618306355,0.01980394915377409,96
48,0.00111853859280828,0.018393972058572117,3.377693875969222e-05,0.01954628759014009,49
129,0.008688697172522257,0.009602495431037706,0.0012361763235169694,0.019527368927076932,130
103,0.014325239843009504,0.004314679324968524,0.0006453406290239936,0.019285259797002022,104
74,0.015059710595610107,0.00410424993119494,9.652270681138547e-05,0.01926048323361643,75
111,0.001366186122364628,0.013626589651700629,0.00353256065302148,0.018525336427086737,112
73,0.015831838468952662,0.0006453406290239936,4.3370447865350125e-05,0.016520549545842006,74
117,0.005824207888674849,0.00786185831568138,0.0023679462195570463,0.016054012423913275,118
21,0.0004547638550847908,0.015059710595610107,5.5688757392240165e-05,0.01557016320808714,22
81,0.00353256065302148,0.01009482589973277,0.0019387103915861005,0.015566096944340349,82
143,0.00020433857192320333,2.2641359144339846e-05,0.015059710595610107,0.01528669052667765,144
75,0.006436745179390212,0.008688697172522257,0.00011789310032451164,0.01524333545223698,76
104,0.01009482589973277,0.003040503131260899,0.0018441583700620008,0.014979487401055668,105
56,9.181523885144535e-05,0.014325239843009504,7.902610843681085e-05,0.014496081190297761,57
85,3.732929041883396e-05,0.0001014715318147867,0.014325239843009504,0.014464040665243125,86
141,0.011728514404689883,0.00225246011967789,0.00027582822103803856,0.014256802745405812,142
66,4.793175768470099e-05,0.011156508007421491,0.0024893534183931974,0.013693793183499389,67
67,4.559409827772581e-05,0.002616985297421619,0.010612398691337153,0.013274978087036498,68
43,0.000962735088769346,0.0074784309611317535,0.0031963930603353787,0.011637559110236478,44
92,0.0017542177050422513,9.652270681138547e-05,0.009602495431037706,0.011453235842891343,93
49,0.011156508007421491,0.0001848931858241466,7.150577991539372e-05,0.011412906973161031,50
91,3.0562638056478614e-05,0.010612398691337153,0.0007132116954499628,0.011356173024843595,92
110,0.009602495431037706,0.0009157819444367089,7.517195964887862e-05,0.010593449335123293,111
52,0.0005554498269121153,0.008264944411079327,0.001668663498016304,0.010489057736007746,53
69,7.517195964887862e-05,0.00017587583874560642,0.01009482589973277,0.010345873698127254,70
131,0.0067667641618306355,0.002892216043741923,0.0005839283485197721,0.01024290855409233,132
31,0.009134176202636733,0.0005554498269121153,5.038927145242552e-05,0.009740015301001274,32
46,0.0001014715318147867,0.0008711187319746757,0.008688697172522257,0.00966128743631172,47
59,6.47011052732924e-05,0.0033602756369874877,0.006122821412649095,0.009547798154909876,60
7,0.003040503131260899,0.005012942186140188,0.0014362319827119717,0.00948967730011306,8
30,0.005540157918116693,0.0027511610028203614,0.00111853859280828,0.009409857513745335,31
76,0.008264944411079327,0.000962735088769346,9.181523885144535e-05,0.009319494738700118,77
130,0.004314679324968524,0.0037136789107166937,5.8543981039558724e-05,0.008086902216724775,131
114,0.00786185831568138,2.6305506355803187e-05,0.0001848931858241466,0.00807305700786133,115
116,0.0007882208242427243,0.0067667641618306355,0.00015913903982548333,0.007714124025898843,117
64,5.297278464538051e-05,0.0010120955722902195,0.006436745179390212,0.007501813536325811,65
70,0.005012942186140188,0.001366186122364628,0.0008711187319746757,0.007250247040479492,71
71,4.125524616329523e-05,2.502257167203054e-05,0.007113703579325679,0.007179981397161005,72
82,0.002892216043741923,0.00353256065302148,4.559409827772581e-05,0.006470370795041128,83
77,0.004535897664470626,0.0001672982728735636,0.0017542177050422513,0.006457413642386441,78
54,0.0007497788410238852,6.154559513367405e-05,0.005540157918116693,0.006351482354274253,55
38,0.00015913903982548333,0.0007497788410238852,0.005012942186140188,0.005921860066989556,39
128,0.0039040833000576584,0.0017542177050422513,0.00020433857192320333,0.005862639577023113,129
134,0.0003204666723128192,0.005269961228093216,8.733735681305598e-05,0.005677765257219092,135
72,9.652270681138547e-05,0.004768458110777481,0.0007882208242427243,0.0056532016418315905,73
53,0.0003541704464526059,0.00019437286217380653,0.004768458110777481,0.005317001419403894,54
19,0.00225246011967789,0.0020381101989183107,0.0008286337700880627,0.005119204088684263,20
37,0.0001848931858241466,0.0003723291535462169,0.004535897664470626,0.00509312000384099,38
4,0.004768458110777481,3.924320406554658e-05,6.80184018773947e-05,0.004875719716720422,5
34,0.00026237591995906923,0.0003204666723128192,0.00410424993119494,0.004687092523466828,35
125,0.00410424993119494,0.00027582822103803856,8.30778636586967e-05,0.0044631560158916745,126
6,0.002616985297421619,5.038927145242552e-05,0.001509869171115925,0.00417724373998997,7
84,0.0023679462195570463,0.001668663498016304,2.502257167203054e-05,0.00406163228924538,85
102,0.0024893534183931974,0.001509869171115925,2.9072080609687777e-05,0.00402829467011881,103
132,2.9072080609687777e-05,3.5508719442127454e-05,0.0039040833000576584,0.003968664100109474,133
120,0.001587281818903397,0.002142606343352009,0.0001672982728735636,0.0038971864351289697,121
86,0.0031963930603353787,0.00014399495790441214,6.154559513367405e-05,0.003401933613373465,87
108,0.0010639868219188583,0.0008286337700880627,0.001366186122364628,0.0032588067143715493,109
100,0.00019437286217380653,0.0012995564389377673,0.001587281818903397,0.0030812111200149706,101
45,0.00011214338597429017,0.0024893534183931974,0.0004780800965271752,0.003079576900894663,46
41,0.00012393760883331792,4.3370447865350125e-05,0.002892216043741923,0.003059524100440591,42
106,0.0006784279506100467,7.902610843681085e-05,0.00225246011967789,0.0030099141787247475,107
126,2.2641359144339846e-05,2.9072080609687777e-05,0.0027511610028203614,0.002802874442574389,127
26,0.0018441583700620008,0.0007132116954499628,0.00013697224093841843,0.002694342306450382,27
68,5.038927145242552e-05,7.150577991539372e-05,0.0020381101989183107,0.00216000525028613,69
105,0.0014362319827119717,0.0004547638550847908,0.00014399495790441214,0.0020349907957011746,106
153,0.0012361763235169694,4.125524616329523e-05,0.0006138669951534218,0.0018912985648336864,154
98,0.0002258290471306333,0.001587281818903397,3.5508719442127454e-05,0.0018486195854761577,99
93,0.0003723291535462169,0.0004325847601560317,0.0010120955722902195,0.0018170094859924681,94
97,0.0008286337700880627,0.00039141887746128867,0.0005554498269121153,0.0017755024744614668,98
29,0.001668663498016304,5.5688757392240165e-05,3.924320406554658e-05,0.0017635954594740907,30
99,0.00021481523453761698,0.0010639868219188583,0.00033689734995427336,0.0016156994064107485,100
50,0.0009157819444367089,0.0006138669951534218,4.793175768470099e-05,0.0015775806972748317,51
147,0.00033689734995427336,0.00020433857192320333,0.0009157819444367089,0.0014570178663141854,148
44,0.0001066740885018854,0.0007882208242427243,0.0005025917872316793,0.001397486699976289,45
142,0.0001302920259204249,2.3802206451113468e-05,0.0010639868219188583,0.0012180810542903966,143
101,0.0005839283485197721,0.00024957969534551087,0.0003723291535462169,0.0012058371974114999,102
133,2.6305506355803187e-05,2.765421850739168e-05,0.000962735088769346,0.0010166948136325407,134
88,3.2129618017777894e-05,0.00021481523453761698,0.0007497788410238852,0.00099672369357928,89
18,0.0007132116954499628,0.0001302920259204249,2.6305506355803187e-05,0.0008698092277261909,19
154,0.0005025917872316793,0.0003048373282757819,4.125524616329523e-05,0.0008486843616707564,155
33,0.00027582822103803856,0.0002258290471306333,0.0003048373282757819,0.0008064945964444538,34
150,0.00014399495790441214,0.0005283602191926328,0.0001066740885018854,0.0007790292655989302,151
25,0.0006138669951534218,0.00013697224093841843,2.2641359144339846e-05,0.00077348059523618,26
96,0.00039141887746128867,0.0002899702363421071,5.297278464538051e-05,0.0007343618984487763,97
124,2.502257167203054e-05,3.0562638056478614e-05,0.0006784279506100467,0.0007340131603385558,125
148,0.00011789310032451164,0.0005839283485197721,2.765421850739168e-05,0.0007294756673516754,149
123,7.150577991539372e-05,0.00011789310032451164,0.0005283602191926328,0.000717759099432538,124
32,0.0002899702363421071,0.00033689734995427336,6.47011052732924e-05,0.0006915686915696729,33
39,0.0001672982728735636,6.47011052732924e-05,0.0004325847601560317,0.0006645841383028878,40
127,8.733735681305598e-05,0.00011214338597429017,0.0004547638550847908,0.000654244597872137,128
146,0.00013697224093841843,4.793175768470099e-05,0.0003541704464526059,0.0005390744450757253,147
60,7.902610843681085e-05,0.00041148735245100153,2.1537127028784376e-05,0.0005120505879165968,61
151,0.0003048373282757819,4.559409827772581e-05,0.00015137773726879076,0.0005018091638222985,152
140,2.3802206451113468e-05,9.181523885144535e-05,0.0002899702363421071,0.0004055876816446659,141
55,8.30778636586967e-05,2.1537127028784376e-05,0.00026237591995906923,0.00036699091064655034,56
152,0.00015137773726879076,0.00015913903982548333,3.732929041883396e-05,0.000347846067513108,153
61,6.154559513367405e-05,3.377693875969222e-05,0.0002258290471306333,0.00032115158102399957,62
121,4.3370447865350125e-05,3.732929041883396e-05,0.00023740754997057388,0.00031810728825475794,122
112,2.765421850739168e-05,3.2129618017777894e-05,0.00024957969534551087,0.0003093635318706804,113
83,3.924320406554658e-05,8.733735681305598e-05,0.0001014715318147867,0.00022805209269338928,84
144,2.1537127028784376e-05,5.297278464538051e-05,0.0001302920259204249,0.0002048019375945898,145
149,5.8543981039558724e-05,6.80184018773947e-05,3.2129618017777894e-05,0.00015869200093473131,150
