,q_3c,d_3c,f_3c,ECR,Molecule
5,0.04524187090179797,0.04524187090179797,0.027440581804701318,0.11792432360829727,6
2,0.0475614712250357,0.04303539882125289,0.026102288838050804,0.11669915888433938,3
139,0.03032653298563167,0.024829265189570477,0.0475614712250357,0.10271726940023784,140
138,0.03523440448593567,0.023618327637050733,0.03032653298563167,0.08917926510861807,139
120,0.018393972058572117,0.021370746597436336,0.04524187090179797,0.08500658955780643,121
107,0.031881407581088664,0.0019387103915861005,0.03894003915357024,0.072760157126245,108
47,0.0370409110340859,0.014325239843009504,0.021370746597436336,0.07273689747453174,48
129,0.0067667641618306355,0.03032653298563167,0.028847490519024334,0.06594078766648664,130
141,0.014325239843009504,0.007113703579325679,0.04303539882125289,0.06447434224358807,142
122,0.021370746597436336,0.04093653765389909,0.0019387103915861005,0.06424599464292154,123
12,0.0037136789107166937,0.0475614712250357,0.0014362319827119717,0.052711382118464364,13
86,0.002892216043741923,0.011728514404689883,0.03523440448593567,0.049855134934367475,87
79,0.00225246011967789,0.0370409110340859,0.005540157918116693,0.04483352907188048,80
40,0.024829265189570477,0.000962735088769346,0.018393972058572117,0.04418597233691194,41
131,0.00786185831568138,0.026102288838050804,0.01009482589973277,0.04405897305346495,132
57,0.04303539882125289,3.924320406554658e-05,0.0003204666723128192,0.04339510869763125,58
154,0.0005839283485197721,0.0014362319827119717,0.04093653765389909,0.04295669798513083,155
80,0.010612398691337153,0.028847490519024334,0.0033602756369874877,0.04282016484734898,81
13,0.0012995564389377673,0.03894003915357024,0.0024893534183931974,0.042728949010901206,14
3,0.04093653765389909,8.30778636586967e-05,0.0005839283485197721,0.04160354386607756,4
51,0.001668663498016304,0.03523440448593567,0.0027511610028203614,0.03965422898677234,52
24,0.005824207888674849,0.031881407581088664,0.0017542177050422513,0.03945983317480576,25
62,0.03894003915357024,5.5688757392240165e-05,0.00039141887746128867,0.03938714678842377,63
99,0.00019437286217380653,0.0018441583700620008,0.0370409110340859,0.03907944226632171,100
145,0.0006138669951534218,0.0033602756369874877,0.033516002301781964,0.03749014493392287,146
14,0.01933705117272506,7.902610843681085e-05,0.017496887455557768,0.036912964736719636,15
11,0.001366186122364628,0.033516002301781964,0.0012361763235169694,0.03611836474766356,12
113,0.00014399495790441214,0.002892216043741923,0.031881407581088664,0.034917618582735,114
52,0.013626589651700629,0.0005283602191926328,0.020328482987029956,0.03448343285792322,53
63,0.033516002301781964,0.00014399495790441214,0.0006138669951534218,0.034273864254839796,64
103,0.011728514404689883,0.020328482987029956,0.002142606343352009,0.03419960373507185,104
43,0.017496887455557768,0.015831838468952662,9.181523885144535e-05,0.03342054116336188,44
20,0.028847490519024334,0.0031963930603353787,0.00023740754997057388,0.032281291129330286,21
119,0.0005283602191926328,0.027440581804701318,0.0037136789107166937,0.03168262093461064,120
78,0.0007882208242427243,0.01933705117272506,0.011156508007421491,0.031281780004389276,79
104,0.008264944411079327,0.022466448205861078,0.0001066740885018854,0.03083806670544229,105
42,0.023618327637050733,0.0067667641618306355,0.00017587583874560642,0.030560967637626973,43
137,0.022466448205861078,0.001509869171115925,0.005012942186140188,0.028989259563117188,138
0,0.027440581804701318,0.0005554498269121153,0.0008711187319746757,0.02886715036358811,1
81,0.004314679324968524,0.015059710595610107,0.008688697172522257,0.02806308709310089,82
17,0.026102288838050804,0.0001672982728735636,0.00019437286217380653,0.026463959973098174,18
109,0.009134176202636733,0.001366186122364628,0.015831838468952662,0.02633220079395402,110
101,0.0014362319827119717,0.018393972058572117,0.005824207888674849,0.025654411929958938,102
89,0.00027582822103803856,0.0003723291535462169,0.024829265189570477,0.025477422564154733,90
87,3.5508719442127454e-05,0.0006784279506100467,0.023618327637050733,0.02433226430710291,88
73,0.020328482987029956,0.0039040833000576584,5.5688757392240165e-05,0.024288255044479855,74
35,0.0039040833000576584,0.0007882208242427243,0.01933705117272506,0.024029355297025445,36
23,0.0004547638550847908,0.00015137773726879076,0.022466448205861078,0.02307258979821466,24
117,0.005012942186140188,0.012962013032294575,0.004535897664470626,0.02251085288290539,118
74,0.015059710595610107,0.006122821412649095,0.0012995564389377673,0.02248208844719697,75
128,0.0024893534183931974,0.01664355418490398,0.00225246011967789,0.021385367722975068,129
116,0.0006784279506100467,0.017496887455557768,0.0031963930603353787,0.021371708466503193,117
1,0.007113703579325679,0.013626589651700629,0.00026237591995906923,0.02100266915098538,2
76,0.009602495431037706,0.009602495431037706,0.001366186122364628,0.02057117698444004,77
110,0.008688697172522257,0.0006453406290239936,0.010612398691337153,0.019946436492883406,111
100,0.00015913903982548333,0.005824207888674849,0.012962013032294575,0.018945359960794907,101
8,0.011156508007421491,0.0008286337700880627,0.006122821412649095,0.01810796319015865,9
27,0.015831838468952662,0.001668663498016304,0.0005283602191926328,0.018028862186161596,28
19,0.01664355418490398,0.00111853859280828,2.3802206451113468e-05,0.017785894984163372,20
22,0.012962013032294575,0.00353256065302148,0.0010639868219188583,0.017558560507234915,23
136,0.006122821412649095,0.0020381101989183107,0.009134176202636733,0.01729510781420414,137
29,0.0019387103915861005,0.00015913903982548333,0.015059710595610107,0.01715756002702169,30
83,4.125524616329523e-05,7.150577991539372e-05,0.01664355418490398,0.016756315210982666,84
102,0.0020381101989183107,0.012329848197080325,0.0018441583700620008,0.016212116766060637,103
15,0.001509869171115925,0.00013697224093841843,0.014325239843009504,0.015972081255063848,16
108,0.0010120955722902195,0.0007132116954499628,0.013626589651700629,0.015351896919440812,109
123,6.47011052732924e-05,0.011156508007421491,0.00410424993119494,0.015325459043889723,124
125,0.0074784309611317535,0.004768458110777481,0.002892216043741923,0.015139105115651157,126
77,0.00410424993119494,0.008688697172522257,3.924320406554658e-05,0.012832190307782744,78
10,0.012329848197080325,6.80184018773947e-05,0.00041148735245100153,0.012809353951408722,11
84,0.0031963930603353787,0.009134176202636733,0.00011214338597429017,0.012442712648946402,85
71,4.3370447865350125e-05,5.297278464538051e-05,0.012329848197080325,0.012426191429591055,72
28,0.0004780800965271752,0.0001014715318147867,0.011728514404689883,0.012308066033031844,29
50,0.0009157819444367089,0.00410424993119494,0.007113703579325679,0.012133735454957328,51
96,0.0004325847601560317,0.01009482589973277,0.001509869171115925,0.012037279831004727,97
49,0.01009482589973277,0.0017542177050422513,4.793175768470099e-05,0.01189697536245972,50
111,0.000962735088769346,0.0011758872928004553,0.009602495431037706,0.011741117812607508,112
54,0.006436745179390212,0.005269961228093216,3.2129618017777894e-05,0.011738836025501206,55
72,9.652270681138547e-05,0.010612398691337153,0.00012393760883331792,0.010832859006981856,73
48,0.00353256065302148,0.0037136789107166937,0.003040503131260899,0.010286742694999074,49
115,0.00111853859280828,0.0006138669951534218,0.008264944411079327,0.009997349999041028,116
58,7.517195964887862e-05,0.008264944411079327,0.0009157819444367089,0.009255898315164914,59
68,0.0017542177050422513,0.0003048373282757819,0.0067667641618306355,0.008825819195148668,69
45,0.00020433857192320333,0.0005025917872316793,0.00786185831568138,0.008568788674836262,46
31,0.005540157918116693,0.00041148735245100153,0.002616985297421619,0.008568630567989314,32
90,0.0008711187319746757,0.0074784309611317535,3.0562638056478614e-05,0.008380112331162908,91
44,0.00026237591995906923,0.0005839283485197721,0.0074784309611317535,0.008324735229610594,45
118,0.0008286337700880627,0.002616985297421619,0.004768458110777481,0.008214077178287163,119
69,0.0001014715318147867,0.00786185831568138,4.125524616329523e-05,0.008004585093659462,70
70,0.005269961228093216,0.0024893534183931974,3.732929041883396e-05,0.007796643936905248,71
106,0.0012361763235169694,0.006436745179390212,7.517195964887862e-05,0.00774809346255606,107
105,0.001587281818903397,0.005540157918116693,0.0001014715318147867,0.007228911268834876,106
135,0.0011758872928004553,0.004314679324968524,0.001668663498016304,0.007159230115785283,136
133,2.765421850739168e-05,3.2129618017777894e-05,0.006436745179390212,0.006496529015915381,134
66,5.038927145242552e-05,0.005012942186140188,0.00111853859280828,0.0061818700504008926,67
18,0.0006453406290239936,0.00024957969534551087,0.005269961228093216,0.006164881552462721,19
130,0.002142606343352009,0.0023679462195570463,0.001587281818903397,0.006097834381812452,131
82,0.003040503131260899,0.00225246011967789,5.297278464538051e-05,0.005345936035584169,83
153,0.004768458110777481,8.733735681305598e-05,0.0003541704464526059,0.005209965914043143,154
33,0.0003048373282757819,0.0004325847601560317,0.004314679324968524,0.005052101413400338,34
134,0.0003541704464526059,0.004535897664470626,3.5508719442127454e-05,0.004925576830365359,135
4,0.004535897664470626,0.0002899702363421071,6.47011052732924e-05,0.004890569006086025,5
97,0.0007132116954499628,0.001587281818903397,0.0023679462195570463,0.004668439733910406,98
94,3.732929041883396e-05,0.00012393760883331792,0.0039040833000576584,0.0040653501993098105,95
148,0.00011214338597429017,0.00023740754997057388,0.00353256065302148,0.003882111588966344,149
7,0.0023679462195570463,0.0012361763235169694,0.0001672982728735636,0.0037714208159475796,8
30,0.0033602756369874877,0.00019437286217380653,0.00015913903982548333,0.0037137875389867776,31
16,0.002616985297421619,0.0003204666723128192,0.0007132116954499628,0.0036506636651844012,17
34,0.0002899702363421071,0.0010639868219188583,0.0020381101989183107,0.003392067257179276,35
98,0.0002258290471306333,0.003040503131260899,8.30778636586967e-05,0.003349410042050229,99
9,0.0018441583700620008,0.00039141887746128867,0.0010120955722902195,0.003247672819813509,10
114,2.6305506355803187e-05,0.0027511610028203614,0.00020433857192320333,0.002981805081099368,115
6,0.0027511610028203614,3.377693875969222e-05,2.1537127028784376e-05,0.002806475068608838,7
147,0.0003723291535462169,0.002142606343352009,0.00021481523453761698,0.002729750731435843,148
88,3.377693875969222e-05,0.0009157819444367089,0.0007497788410238852,0.0016993377242202862,89
21,0.0005554498269121153,0.0010120955722902195,4.3370447865350125e-05,0.001610915847067685,22
53,0.0010639868219188583,6.154559513367405e-05,0.0004780800965271752,0.0016036125135797075,54
67,4.559409827772581e-05,0.00033689734995427336,0.0011758872928004553,0.0015583787410324546,68
36,0.00023740754997057388,0.00026237591995906923,0.000962735088769346,0.001462518558698989,37
46,0.0001066740885018854,0.0012995564389377673,2.9072080609687777e-05,0.0014353026080493405,47
25,0.0005025917872316793,4.3370447865350125e-05,0.0008286337700880627,0.001374596005185092,26
151,0.0003204666723128192,0.0008711187319746757,9.652270681138547e-05,0.0012881081110988801,152
26,0.00041148735245100153,0.0003541704464526059,0.0005025917872316793,0.0012682495861352867,27
56,8.733735681305598e-05,0.0004780800965271752,0.0005554498269121153,0.0011208672802523465,57
85,3.924320406554658e-05,0.0001302920259204249,0.0007882208242427243,0.0009577560542286958,86
75,0.00024957969534551087,4.125524616329523e-05,0.0006453406290239936,0.0009361755705327996,76
60,7.150577991539372e-05,0.0007497788410238852,7.902610843681085e-05,0.0009003107293760898,61
41,0.00013697224093841843,2.9072080609687777e-05,0.0006784279506100467,0.000844472272158153,42
95,0.0007497788410238852,2.6305506355803187e-05,3.377693875969222e-05,0.0008098612861393806,96
32,0.00033689734995427336,0.00021481523453761698,0.0002258290471306333,0.0007775416316225237,33
93,0.00039141887746128867,0.00020433857192320333,0.0001302920259204249,0.0007260494753049169,94
55,7.902610843681085e-05,0.00027582822103803856,0.00033689734995427336,0.0006917516794291228,56
38,0.00017587583874560642,3.732929041883396e-05,0.0004547638550847908,0.0006679689842492312,39
146,0.0001302920259204249,0.00011214338597429017,0.0003048373282757819,0.000547272740170497,147
132,3.0562638056478614e-05,0.0004547638550847908,6.154559513367405e-05,0.0005468720882749435,133
59,6.80184018773947e-05,2.3802206451113468e-05,0.0004325847601560317,0.0005244053684845399,60
91,3.2129618017777894e-05,0.00011789310032451164,0.0003723291535462169,0.0005223518718885064,92
143,0.0001848931858241466,2.502257167203054e-05,0.00024957969534551087,0.000459495452841688,144
37,0.00021481523453761698,4.559409827772581e-05,0.0001848931858241466,0.0004453025186394894,38
65,5.8543981039558724e-05,6.47011052732924e-05,0.0002899702363421071,0.00041321532265495823,66
39,0.0001672982728735636,0.0001066740885018854,0.00013697224093841843,0.00041094460231386746,40
61,6.154559513367405e-05,5.8543981039558724e-05,0.00027582822103803856,0.00039591779721127136,62
152,0.00015137773726879076,0.00017587583874560642,5.038927145242552e-05,0.0003776428474668227,153
149,5.5688757392240165e-05,0.0001848931858241466,7.150577991539372e-05,0.00031208772313178043,150
124,2.3802206451113468e-05,0.0002258290471306333,4.559409827772581e-05,0.00029522535185947264,125
142,0.00012393760883331792,2.2641359144339846e-05,0.00011789310032451164,0.0002644720683021694,143
127,8.30778636586967e-05,9.181523885144535e-05,8.733735681305598e-05,0.00026223045932319804,128
150,0.00011789310032451164,7.517195964887862e-05,5.8543981039558724e-05,0.000251609041012949,151
112,2.9072080609687777e-05,4.793175768470099e-05,0.00014399495790441214,0.0002209987961988009,113
144,2.1537127028784376e-05,2.1537127028784376e-05,0.00015137773726879076,0.00019445199132635951,145
64,5.297278464538051e-05,9.652270681138547e-05,2.765421850739168e-05,0.00017714970996415768,65
121,4.793175768470099e-05,5.038927145242552e-05,6.80184018773947e-05,0.00016633943101452121,122
92,9.181523885144535e-05,3.0562638056478614e-05,2.6305506355803187e-05,0.00014868338326372716,93
140,2.502257167203054e-05,3.5508719442127454e-05,2.2641359144339846e-05,8.317265025849784e-05,141
126,2.2641359144339846e-05,2.765421850739168e-05,2.502257167203054e-05,7.531814932376207e-05,127
